Variable,Description,Data type (raw),Example value,Unique values,Missing (n),Missing (%),Comments
Isolate Number,Unique laboratory identifier assigned to each bacterial isolate.,object,LGC277703-05404,2318,0,0.0,Verified unique across all records (0 duplicates).
Organism,Species of the bacterial isolate recovered from the clinical specimen.,str,Streptococcus pneumoniae,4,0,0.0,
BodyLocation,Anatomical source / specimen type from which the isolate was recovered (body system: specimen).,str,CVS: Blood,11,0,0.0,Free-text categorical; hierarchical (system: specimen) — consider splitting into two fields.
Country,Country in which the isolate was collected.,str,Argentina,18,0,0.0,
Centre,Numeric code identifying the participating study/collection centre.,int64,6,28,0,0.0,
Gender,Sex of the patient from whom the isolate was collected (M/F).,str,M,2,0,0.0,
Age,Age of the patient in years at the time of specimen collection.,int64,47,100,0,0.0,"Contains a maximum value of 150 — implausible for a human age; flagged for review, not altered."
Collection Date,"Date on which the specimen was collected. Recorded inconsistently across records (full date, text date, or year only).",object,2016-06-23 00:00:00,842,0,0.0,"Mixed data types (datetime, text 'DD-Mon-YY', bare year int) — standardized in script 01."
Betalactamase,"Beta-lactamase production status of the isolate, as determined by phenotypic testing (applicable mainly to H. influenzae).",str,Negative,4,1248,53.84,Inconsistent coding: 'Negative'/'NEG' and 'Positive'/'POS' used interchangeably; ~54% missing (mostly not applicable outside H. influenzae).
AMC,"Minimum Inhibitory Concentration (mg/L) of Amoxicillin/Clavulanic acid against the isolate. Raw text field combining a dilution value with an optional censoring operator ('</=' = left-censored, '>' = right-censored).",object,</= 0.015,22,0,0.0,MIC field; requires parsing into numeric value + censoring flag (see script 01).
AMP,"Minimum Inhibitory Concentration (mg/L) of Ampicillin against the isolate. Raw text field combining a dilution value with an optional censoring operator ('</=' = left-censored, '>' = right-censored).",object,</= 0.03,22,0,0.0,MIC field; requires parsing into numeric value + censoring flag (see script 01).
AMX,"Minimum Inhibitory Concentration (mg/L) of Amoxicillin against the isolate. Raw text field combining a dilution value with an optional censoring operator ('</=' = left-censored, '>' = right-censored).",object,</= 0.015,24,0,0.0,MIC field; requires parsing into numeric value + censoring flag (see script 01).
AXO,"Minimum Inhibitory Concentration (mg/L) of Ceftriaxone against the isolate. Raw text field combining a dilution value with an optional censoring operator ('</=' = left-censored, '>' = right-censored).",object,</= 0.015,15,0,0.0,MIC field; requires parsing into numeric value + censoring flag (see script 01).
AZM,"Minimum Inhibitory Concentration (mg/L) of Azithromycin against the isolate. Raw text field combining a dilution value with an optional censoring operator ('</=' = left-censored, '>' = right-censored).",object,</= 0.03,19,0,0.0,MIC field; requires parsing into numeric value + censoring flag (see script 01).
CDN,"Minimum Inhibitory Concentration (mg/L) of Cefdinir against the isolate. Raw text field combining a dilution value with an optional censoring operator ('</=' = left-censored, '>' = right-censored).",object,</= 0.015,16,0,0.0,"MIC field; requires parsing into numeric value + censoring flag (see script 01). NOTE: standard lab abbreviation lists map both 'CDN' and 'DIN' to Cefdinir, yet the two columns hold different values for the same isolate (identical in only 169/2318 rows), so they are not duplicates of one antibiotic. The true identity of one of these two columns is unresolved and should be confirmed with the data provider before Stage Two."
CEC,"Minimum Inhibitory Concentration (mg/L) of Cefaclor against the isolate. Raw text field combining a dilution value with an optional censoring operator ('</=' = left-censored, '>' = right-censored).",object,0.5,19,0,0.0,MIC field; requires parsing into numeric value + censoring flag (see script 01).
CLA,"Minimum Inhibitory Concentration (mg/L) of Clarithromycin against the isolate. Raw text field combining a dilution value with an optional censoring operator ('</=' = left-censored, '>' = right-censored).",object,</= 0.015,22,0,0.0,MIC field; requires parsing into numeric value + censoring flag (see script 01).
CXM,"Minimum Inhibitory Concentration (mg/L) of Cefuroxime against the isolate. Raw text field combining a dilution value with an optional censoring operator ('</=' = left-censored, '>' = right-censored).",object,0.12,21,0,0.0,MIC field; requires parsing into numeric value + censoring flag (see script 01).
DIN,"Minimum Inhibitory Concentration (mg/L) of Cefdinir (alternate code - see note) against the isolate. Raw text field combining a dilution value with an optional censoring operator ('</=' = left-censored, '>' = right-censored).",object,0.06,19,0,0.0,"MIC field; requires parsing into numeric value + censoring flag (see script 01). NOTE: standard lab abbreviation lists map both 'CDN' and 'DIN' to Cefdinir, yet the two columns hold different values for the same isolate (identical in only 169/2318 rows), so they are not duplicates of one antibiotic. The true identity of one of these two columns is unresolved and should be confirmed with the data provider before Stage Two."
ERY,"Minimum Inhibitory Concentration (mg/L) of Erythromycin against the isolate. Raw text field combining a dilution value with an optional censoring operator ('</=' = left-censored, '>' = right-censored).",object,</= 0.015,12,1071,46.2,MIC field; requires parsing into numeric value + censoring flag (see script 01).
FIX,"Minimum Inhibitory Concentration (mg/L) of Cefixime against the isolate. Raw text field combining a dilution value with an optional censoring operator ('</=' = left-censored, '>' = right-censored).",object,0.12,24,0,0.0,MIC field; requires parsing into numeric value + censoring flag (see script 01).
LEV,"Minimum Inhibitory Concentration (mg/L) of Levofloxacin against the isolate. Raw text field combining a dilution value with an optional censoring operator ('</=' = left-censored, '>' = right-censored).",object,1,24,0,0.0,MIC field; requires parsing into numeric value + censoring flag (see script 01).
