Organism,Antibiotic,N tested,% censored,Distinct boundary-substituted values,Degenerate (1 unique value)?,Rank within organism (1=lowest censored)
Escherichia coli,AMC,106,0.94,8,False,1.0
Escherichia coli,FIX,106,4.72,9,False,2.0
Escherichia coli,AXO,106,5.66,6,False,3.0
Escherichia coli,CDN,106,5.66,7,False,4.0
Escherichia coli,CEC,106,5.66,7,False,5.0
Escherichia coli,CXM,106,5.66,7,False,6.0
Escherichia coli,DIN,106,5.66,7,False,7.0
Escherichia coli,POD,106,5.66,6,False,8.0
Escherichia coli,AZM,106,10.38,7,False,9.0
Escherichia coli,LEV,106,27.36,9,False,10.0
Escherichia coli,MXF,106,28.3,9,False,11.0
Escherichia coli,SXT,106,40.57,10,False,12.0
Escherichia coli,AMP,106,56.6,5,False,13.0
Escherichia coli,AMX,106,58.49,6,False,14.0
Escherichia coli,PEN,106,97.17,2,False,15.0
Escherichia coli,CLA,106,98.11,1,True,16.0
Escherichia coli,ERY,106,100.0,1,True,17.0
Haemophilus influenzae,DIN,1071,1.03,11,False,1.0
Haemophilus influenzae,AZM,1071,1.59,11,False,2.0
Haemophilus influenzae,CXM,1071,2.33,11,False,3.0
Haemophilus influenzae,CEC,1071,2.61,11,False,4.0
Haemophilus influenzae,CLA,1071,3.92,11,False,5.0
Haemophilus influenzae,MXF,1071,4.11,12,False,6.0
Haemophilus influenzae,LEV,1071,5.98,12,False,7.0
Haemophilus influenzae,SXT,1071,6.35,11,False,8.0
Haemophilus influenzae,AMC,1071,7.28,8,False,9.0
Haemophilus influenzae,AMX,1071,13.82,11,False,10.0
Haemophilus influenzae,POD,1071,14.57,11,False,11.0
Haemophilus influenzae,AMP,1071,17.09,12,False,12.0
Haemophilus influenzae,FIX,1071,26.24,11,False,13.0
Haemophilus influenzae,CDN,1071,83.85,8,False,14.0
Haemophilus influenzae,AXO,1071,84.13,8,False,15.0
Klebsiella pneumoniae,AMC,73,4.11,7,False,1.0
Klebsiella pneumoniae,AZM,73,10.96,5,False,2.0
Klebsiella pneumoniae,LEV,73,12.33,8,False,3.0
Klebsiella pneumoniae,MXF,73,12.33,9,False,4.0
Klebsiella pneumoniae,CDN,73,16.44,9,False,5.0
Klebsiella pneumoniae,CXM,73,16.44,8,False,6.0
Klebsiella pneumoniae,DIN,73,16.44,9,False,7.0
Klebsiella pneumoniae,POD,73,16.44,9,False,8.0
Klebsiella pneumoniae,CEC,73,17.81,6,False,9.0
Klebsiella pneumoniae,AXO,73,19.18,7,False,10.0
Klebsiella pneumoniae,AMP,73,26.03,7,False,11.0
Klebsiella pneumoniae,SXT,73,27.4,8,False,12.0
Klebsiella pneumoniae,AMX,73,28.77,5,False,13.0
Klebsiella pneumoniae,FIX,73,32.88,8,False,14.0
Klebsiella pneumoniae,PEN,73,79.45,3,False,15.0
Klebsiella pneumoniae,CLA,73,98.63,1,True,16.0
Klebsiella pneumoniae,ERY,73,98.63,1,True,17.0
Streptococcus pneumoniae,LEV,1068,0.28,11,False,1.0
Streptococcus pneumoniae,MXF,1068,0.66,10,False,2.0
Streptococcus pneumoniae,SXT,1068,1.59,11,False,3.0
Streptococcus pneumoniae,DIN,1068,1.87,11,False,4.0
Streptococcus pneumoniae,FIX,1068,3.28,11,False,5.0
Streptococcus pneumoniae,POD,1068,8.9,11,False,6.0
Streptococcus pneumoniae,CXM,1068,9.27,11,False,7.0
Streptococcus pneumoniae,AMX,1068,17.88,11,False,8.0
Streptococcus pneumoniae,AMC,1068,18.73,11,False,9.0
Streptococcus pneumoniae,AXO,1068,20.22,10,False,10.0
Streptococcus pneumoniae,CDN,1068,25.37,10,False,11.0
Streptococcus pneumoniae,AMP,1068,30.24,10,False,12.0
Streptococcus pneumoniae,PEN,1068,34.18,9,False,13.0
Streptococcus pneumoniae,CEC,1068,35.21,11,False,14.0
Streptococcus pneumoniae,ERY,1068,48.22,11,False,15.0
Streptococcus pneumoniae,AZM,1068,52.43,11,False,16.0
Streptococcus pneumoniae,CLA,1068,55.71,11,False,17.0
