Organism,Antibiotic,Antibiotic (name),Breakpoint confidence,Country,N,% censored,MIC50,MIC90,GeoMean,P25,P75,IQR_log2,Skewness,Kurtosis,Modal_MIC,PctR
Streptococcus pneumoniae,PEN,Penicillin,high,Argentina,95,67.37,0.06,1.0,0.1268,0.06,0.25,2.059,1.554,1.176,0.06,32.63
Streptococcus pneumoniae,PEN,Penicillin,high,Cambodia,48,29.17,0.25,2.0,0.3275,0.06,1.0,4.059,0.238,-1.437,0.06,70.83
Streptococcus pneumoniae,PEN,Penicillin,high,Chile,73,35.62,0.12,4.0,0.2445,0.06,1.0,4.059,0.713,-0.925,0.06,64.38
Streptococcus pneumoniae,PEN,Penicillin,high,Kenya,44,20.45,0.5,2.0,0.5117,0.25,1.0,2.0,-0.378,-0.8,0.5,79.55
Streptococcus pneumoniae,PEN,Penicillin,high,Kuwait,82,40.24,0.25,2.0,0.3008,0.06,2.0,5.059,0.312,-1.492,0.06,60.98
Streptococcus pneumoniae,PEN,Penicillin,high,Lebanon,21,57.14,0.06,0.5,0.1139,0.06,0.25,2.059,0.746,-1.072,0.06,42.86
Streptococcus pneumoniae,PEN,Penicillin,high,Morocco,19,89.47,0.06,2.0,0.09,0.06,0.06,0.0,2.616,4.935,0.06,10.53
Streptococcus pneumoniae,PEN,Penicillin,high,Pakistan,94,23.4,0.25,0.5,0.196,0.12,0.25,1.059,0.064,-0.274,0.25,76.6
Streptococcus pneumoniae,PEN,Penicillin,high,Philippines,17,94.12,0.06,0.06,0.0625,0.06,0.06,0.0,3.75,12.062,0.06,5.88
Streptococcus pneumoniae,PEN,Penicillin,high,Saudi Arabia,36,50.0,0.12,4.0,0.2595,0.06,1.0,4.059,0.443,-1.335,0.06,52.78
Streptococcus pneumoniae,PEN,Penicillin,high,Singapore,34,35.29,0.25,4.0,0.4092,0.06,2.0,5.059,0.121,-1.623,0.06,70.59
Streptococcus pneumoniae,PEN,Penicillin,high,Tunisia,79,13.92,1.0,2.0,0.7826,0.25,2.0,3.0,-0.936,-0.584,2.0,86.08
Streptococcus pneumoniae,PEN,Penicillin,high,Turkey,179,25.14,0.5,4.0,0.4715,0.06,2.0,5.059,-0.345,-1.389,2.0,72.07
Streptococcus pneumoniae,PEN,Penicillin,high,Ukraine,78,73.08,0.06,2.0,0.1126,0.06,0.12,1.0,1.788,1.58,0.06,26.92
Streptococcus pneumoniae,PEN,Penicillin,high,Vietnam,161,1.24,2.0,4.0,1.7466,2.0,4.0,1.0,-1.57,3.049,2.0,98.76
Streptococcus pneumoniae,AMX,Amoxicillin,moderate,Argentina,95,43.16,0.03,2.0,0.0602,0.015,0.12,3.0,1.519,1.128,0.015,7.37
Streptococcus pneumoniae,AMX,Amoxicillin,moderate,Cambodia,48,20.83,0.5,4.0,0.2719,0.03,2.0,6.059,-0.143,-1.262,0.015,10.42
Streptococcus pneumoniae,AMX,Amoxicillin,moderate,Chile,73,26.03,0.12,8.0,0.1686,0.015,1.0,6.059,0.531,-0.88,0.015,15.07
Streptococcus pneumoniae,AMX,Amoxicillin,moderate,Kenya,44,4.55,0.5,2.0,0.3592,0.06,2.0,5.059,-0.126,-1.14,1.0,9.09
Streptococcus pneumoniae,AMX,Amoxicillin,moderate,Kuwait,82,19.51,0.25,4.0,0.2702,0.03,2.0,6.059,-0.034,-1.301,0.015,13.41
Streptococcus pneumoniae,AMX,Amoxicillin,moderate,Lebanon,21,9.52,0.03,0.5,0.0874,0.03,0.5,4.059,0.491,-1.449,0.03,0.0
Streptococcus pneumoniae,AMX,Amoxicillin,moderate,Morocco,19,57.89,0.015,2.0,0.0362,0.015,0.03,1.0,2.287,3.924,0.015,5.26
Streptococcus pneumoniae,AMX,Amoxicillin,moderate,Pakistan,94,9.57,0.25,0.25,0.1484,0.12,0.25,1.059,-0.65,0.501,0.25,1.06
Streptococcus pneumoniae,AMX,Amoxicillin,moderate,Philippines,17,52.94,0.015,0.03,0.0235,0.015,0.03,1.0,2.348,5.766,0.015,0.0
Streptococcus pneumoniae,AMX,Amoxicillin,moderate,Saudi Arabia,36,27.78,0.12,4.0,0.1598,0.015,1.25,6.381,0.442,-1.158,0.015,11.11
Streptococcus pneumoniae,AMX,Amoxicillin,moderate,Singapore,34,20.59,0.25,8.0,0.3481,0.03,2.0,6.059,-0.013,-1.439,0.015,23.53
Streptococcus pneumoniae,AMX,Amoxicillin,moderate,Tunisia,79,13.92,2.0,8.0,0.9404,0.25,4.0,4.0,-1.079,-0.223,2.0,30.38
Streptococcus pneumoniae,AMX,Amoxicillin,moderate,Turkey,179,9.5,1.0,8.0,0.4372,0.06,2.0,5.059,-0.235,-1.368,2.0,21.23
Streptococcus pneumoniae,AMX,Amoxicillin,moderate,Ukraine,78,30.77,0.03,2.0,0.0563,0.015,0.12,3.0,1.322,0.316,0.03,0.0
Streptococcus pneumoniae,AMX,Amoxicillin,moderate,Vietnam,161,0.0,2.0,8.0,2.2619,2.0,8.0,2.0,-0.955,1.147,2.0,39.75
Streptococcus pneumoniae,AMC,Amoxicillin/Clavulanic acid,high,Argentina,95,46.32,0.03,2.0,0.058,0.015,0.12,3.0,1.552,1.231,0.015,7.37
Streptococcus pneumoniae,AMC,Amoxicillin/Clavulanic acid,high,Cambodia,48,20.83,0.25,4.0,0.2567,0.03,1.0,5.059,-0.093,-1.212,0.015,10.42
Streptococcus pneumoniae,AMC,Amoxicillin/Clavulanic acid,high,Chile,73,21.92,0.12,8.0,0.1718,0.03,1.0,5.059,0.58,-0.804,0.015,15.07
Streptococcus pneumoniae,AMC,Amoxicillin/Clavulanic acid,high,Kenya,44,4.55,0.5,2.0,0.3268,0.06,1.0,4.059,-0.084,-0.944,1.0,9.09
Streptococcus pneumoniae,AMC,Amoxicillin/Clavulanic acid,high,Kuwait,82,21.95,0.25,4.0,0.2587,0.03,2.0,6.059,-0.015,-1.299,0.015,12.2
Streptococcus pneumoniae,AMC,Amoxicillin/Clavulanic acid,high,Lebanon,21,9.52,0.03,0.5,0.0874,0.03,0.5,4.059,0.491,-1.449,0.03,0.0
Streptococcus pneumoniae,AMC,Amoxicillin/Clavulanic acid,high,Morocco,19,68.42,0.015,2.0,0.0336,0.015,0.03,1.0,2.317,3.98,0.015,5.26
Streptococcus pneumoniae,AMC,Amoxicillin/Clavulanic acid,high,Pakistan,94,11.7,0.25,0.25,0.144,0.12,0.25,1.059,-0.754,0.313,0.25,1.06
Streptococcus pneumoniae,AMC,Amoxicillin/Clavulanic acid,high,Philippines,17,70.59,0.015,0.03,0.0208,0.015,0.03,1.0,2.753,7.178,0.015,0.0
Streptococcus pneumoniae,AMC,Amoxicillin/Clavulanic acid,high,Saudi Arabia,36,30.56,0.12,4.0,0.1568,0.015,1.25,6.381,0.435,-1.174,0.015,11.11
Streptococcus pneumoniae,AMC,Amoxicillin/Clavulanic acid,high,Singapore,34,17.65,0.25,8.0,0.363,0.0375,2.0,5.737,-0.013,-1.312,0.015,23.53
Streptococcus pneumoniae,AMC,Amoxicillin/Clavulanic acid,high,Tunisia,79,8.86,2.0,8.0,1.001,0.625,4.0,2.678,-1.105,0.06,2.0,27.85
