Organism,Antibiotic,N tested,N exact,N left-censored,N right-censored,% censored
Escherichia coli,AMC,106,105,0,1,0.94
Escherichia coli,AMP,106,46,0,60,56.6
Escherichia coli,AMX,106,44,0,62,58.49
Escherichia coli,AXO,106,100,0,6,5.66
Escherichia coli,AZM,106,95,0,11,10.38
Escherichia coli,CDN,106,100,0,6,5.66
Escherichia coli,CEC,106,100,0,6,5.66
Escherichia coli,CLA,106,2,0,104,98.11
Escherichia coli,CXM,106,100,0,6,5.66
Escherichia coli,DIN,106,100,0,6,5.66
Escherichia coli,ERY,106,0,0,106,100.0
Escherichia coli,FIX,106,101,0,5,4.72
Escherichia coli,LEV,106,77,0,29,27.36
Escherichia coli,MXF,106,76,0,30,28.3
Escherichia coli,PEN,106,3,0,103,97.17
Escherichia coli,POD,106,100,0,6,5.66
Escherichia coli,SXT,106,63,0,43,40.57
Haemophilus influenzae,AMC,1071,993,78,0,7.28
Haemophilus influenzae,AMP,1071,888,154,29,17.09
Haemophilus influenzae,AMX,1071,923,107,41,13.82
Haemophilus influenzae,AXO,1071,170,901,0,84.13
Haemophilus influenzae,AZM,1071,1054,4,13,1.59
Haemophilus influenzae,CDN,1071,173,898,0,83.85
Haemophilus influenzae,CEC,1071,1043,2,26,2.61
Haemophilus influenzae,CLA,1071,1029,27,15,3.92
Haemophilus influenzae,CXM,1071,1046,14,11,2.33
Haemophilus influenzae,DIN,1071,1060,11,0,1.03
Haemophilus influenzae,FIX,1071,790,281,0,26.24
Haemophilus influenzae,LEV,1071,1007,14,50,5.98
Haemophilus influenzae,MXF,1071,1027,16,28,4.11
Haemophilus influenzae,POD,1071,915,148,8,14.57
Haemophilus influenzae,SXT,1071,1003,22,46,6.35
Klebsiella pneumoniae,AMC,73,70,0,3,4.11
Klebsiella pneumoniae,AMP,73,54,0,19,26.03
Klebsiella pneumoniae,AMX,73,52,0,21,28.77
Klebsiella pneumoniae,AXO,73,59,1,13,19.18
Klebsiella pneumoniae,AZM,73,65,0,8,10.96
Klebsiella pneumoniae,CDN,73,61,1,11,16.44
Klebsiella pneumoniae,CEC,73,60,0,13,17.81
Klebsiella pneumoniae,CLA,73,1,0,72,98.63
Klebsiella pneumoniae,CXM,73,61,0,12,16.44
Klebsiella pneumoniae,DIN,73,61,0,12,16.44
Klebsiella pneumoniae,ERY,73,1,0,72,98.63
Klebsiella pneumoniae,FIX,73,49,14,10,32.88
Klebsiella pneumoniae,LEV,73,64,0,9,12.33
Klebsiella pneumoniae,MXF,73,64,0,9,12.33
Klebsiella pneumoniae,PEN,73,15,0,58,79.45
Klebsiella pneumoniae,POD,73,61,0,12,16.44
Klebsiella pneumoniae,SXT,73,53,0,20,27.4
Streptococcus pneumoniae,AMC,1068,868,200,0,18.73
Streptococcus pneumoniae,AMP,1068,745,323,0,30.24
Streptococcus pneumoniae,AMX,1068,877,191,0,17.88
Streptococcus pneumoniae,AXO,1068,852,216,0,20.22
Streptococcus pneumoniae,AZM,1068,508,128,432,52.43
Streptococcus pneumoniae,CDN,1068,797,271,0,25.37
Streptococcus pneumoniae,CEC,1068,692,3,373,35.21
Streptococcus pneumoniae,CLA,1068,473,189,406,55.71
Streptococcus pneumoniae,CXM,1068,969,62,37,9.27
Streptococcus pneumoniae,DIN,1068,1048,6,14,1.87
Streptococcus pneumoniae,ERY,1068,553,91,424,48.22
Streptococcus pneumoniae,FIX,1068,1033,11,24,3.28
Streptococcus pneumoniae,LEV,1068,1065,3,0,0.28
Streptococcus pneumoniae,MXF,1068,1061,7,0,0.66
Streptococcus pneumoniae,PEN,1068,703,361,4,34.18
Streptococcus pneumoniae,POD,1068,973,65,30,8.9
Streptococcus pneumoniae,SXT,1068,1051,14,3,1.59
