Organism,Antibiotic,Antibiotic (name),Breakpoint confidence,Year,N,% censored,MIC50,MIC90,GeoMean,P25,P75,IQR_log2,Skewness,Kurtosis,Modal_MIC,PctR
Streptococcus pneumoniae,PEN,Penicillin,high,2015,48,29.17,0.5,4.0,0.403,0.06,2.0,5.059,-0.071,-1.398,0.06,70.83
Streptococcus pneumoniae,PEN,Penicillin,high,2016,641,40.09,0.25,2.0,0.2664,0.06,2.0,5.059,0.407,-1.352,0.06,59.44
Streptococcus pneumoniae,PEN,Penicillin,high,2017,333,27.33,0.5,4.0,0.5037,0.06,2.0,5.059,-0.137,-1.454,0.06,73.27
Streptococcus pneumoniae,PEN,Penicillin,high,2018,46,6.52,2.0,4.0,1.328,1.0,2.0,1.0,-1.552,2.025,2.0,93.48
Streptococcus pneumoniae,AMX,Amoxicillin,moderate,2015,48,18.75,0.25,8.0,0.3094,0.03,2.0,6.059,-0.078,-1.5,2.0,14.58
Streptococcus pneumoniae,AMX,Amoxicillin,moderate,2016,641,23.09,0.25,4.0,0.1949,0.03,2.0,6.059,0.268,-1.316,0.015,12.64
Streptococcus pneumoniae,AMX,Amoxicillin,moderate,2017,333,10.21,0.5,8.0,0.4613,0.06,2.0,5.059,-0.177,-1.287,2.0,23.42
Streptococcus pneumoniae,AMX,Amoxicillin,moderate,2018,46,0.0,2.0,8.0,1.5195,2.0,3.5,0.807,-1.502,2.096,2.0,26.09
Streptococcus pneumoniae,AMC,Amoxicillin/Clavulanic acid,high,2015,48,18.75,0.25,8.0,0.3006,0.03,2.0,6.059,-0.06,-1.467,2.0,14.58
Streptococcus pneumoniae,AMC,Amoxicillin/Clavulanic acid,high,2016,641,23.71,0.25,4.0,0.1911,0.03,2.0,6.059,0.279,-1.292,0.015,12.48
Streptococcus pneumoniae,AMC,Amoxicillin/Clavulanic acid,high,2017,333,11.71,1.0,8.0,0.4518,0.06,2.0,5.059,-0.181,-1.274,2.0,23.12
Streptococcus pneumoniae,AMC,Amoxicillin/Clavulanic acid,high,2018,46,0.0,2.0,8.0,1.4523,1.0,3.5,1.807,-1.4,1.881,2.0,26.09
Streptococcus pneumoniae,AXO,Ceftriaxone,high,2015,48,22.92,0.25,2.0,0.1734,0.03,1.0,5.059,-0.168,-1.363,0.015,12.5
Streptococcus pneumoniae,AXO,Ceftriaxone,high,2016,641,23.87,0.12,1.0,0.1272,0.03,1.0,5.059,0.164,-1.334,0.015,7.18
Streptococcus pneumoniae,AXO,Ceftriaxone,high,2017,333,15.02,0.5,2.0,0.2642,0.06,1.0,4.059,-0.33,-1.014,1.0,15.32
Streptococcus pneumoniae,AXO,Ceftriaxone,high,2018,46,4.35,1.0,2.0,0.783,0.5,2.0,2.0,-1.62,3.263,1.0,30.43
