Organism,Antibiotic,Antibiotic (name),Years,N per year,%R range (pp),%R by year,GeoMean log2 range,GeoMean direction (first->last yr),GeoMean by year (mg/L),MIC50 constant across years?,MIC50 by year,MIC90 constant across years?,MIC90 by year,Skewness range,IQR_log2 range,Stable %R + shifting GeoMean?,N years
Haemophilus influenzae,AMP,Ampicillin,"2016,2017,2018","686,351,27",79.24,"17.1,30.8,96.3",6.324,increasing,"0.3514,0.8669,28.1452",False,"0.25,0.5,64.0",False,"8.0,64.0,128.0",2.295,3.0,False,3
Haemophilus influenzae,FIX,Cefixime,"2016,2017,2018","686,351,27",39.43,"1.3,3.7,40.7",5.083,increasing,"0.0353,0.0504,1.1969",False,"0.03,0.03,1.0",False,"0.12,0.5,4.0",1.914,0.415,False,3
Haemophilus influenzae,SXT,Trimethoprim/Sulfamethoxazole,"2016,2017,2018","686,351,27",54.32,"42.0,49.0,96.3",4.512,increasing,"0.5278,0.7727,12.0454",False,"0.25,0.5,16.0",True,"16.0,16.0,16.0",4.657,7.644,False,3
Streptococcus pneumoniae,POD,Cefpodoxime,"2015,2016,2017,2018","48,641,333,46",49.69,"50.0,32.9,54.6,82.6",4.146,increasing,"0.4996,0.2785,0.8040,4.9307",False,"0.5,0.25,1.0,8.0",False,"8.0,4.0,16.0,16.0",1.853,4.059,False,4
Haemophilus influenzae,CXM,Cefuroxime,"2016,2017,2018","686,351,27",65.94,"0.7,9.1,66.7",3.98,increasing,"0.5620,0.9526,8.8652",False,"0.5,1.0,8.0",False,"2.0,4.0,32.0",1.189,1.415,False,3
Streptococcus pneumoniae,CLA,Clarithromycin,"2015,2016,2017,2018","48,641,333,46",37.82,"52.1,47.0,66.4,84.8",3.856,increasing,"0.5347,0.3710,1.2662,5.3733",False,"1.0,0.03,8.0,16.0",True,"16.0,16.0,16.0,16.0",2.064,9.059,False,4
Streptococcus pneumoniae,AZM,Azithromycin,"2015,2016,2017,2018","48,641,333,46",38.13,"52.1,46.6,65.8,84.8",3.837,increasing,"1.2717,0.8486,2.7527,12.1235",False,"4.0,0.12,32.0,32.0",True,"32.0,32.0,32.0,32.0",2.192,9.059,False,4
Streptococcus pneumoniae,ERY,Erythromycin,"2015,2016,2017,2018","48,641,333,46",37.51,"52.1,47.3,66.7,84.8",3.688,increasing,"0.6451,0.4774,1.5337,6.1538",False,"2.0,0.06,16.0,16.0",True,"16.0,16.0,16.0,16.0",2.162,9.059,False,4
Haemophilus influenzae,DIN,Cefdinir (alternate code - see note),"2016,2017,2018","686,351,27",61.06,"1.9,7.4,63.0",3.421,increasing,"0.2607,0.3605,2.7924",False,"0.25,0.25,2.0",False,"0.5,1.0,16.0",1.168,2.0,False,3
Haemophilus influenzae,LEV,Levofloxacin,"2016,2017,2018","686,351,27",23.22,"6.4,8.3,29.6",3.266,increasing,"0.0366,0.0397,0.3522",False,"0.015,0.015,0.5",False,"0.5,1.0,8.0",2.135,8.059,False,3
Haemophilus influenzae,MXF,Moxifloxacin,"2016,2017,2018","686,351,27",26.92,"6.4,8.6,33.3",3.208,increasing,"0.0362,0.0414,0.3346",False,"0.015,0.03,0.5",False,"0.5,0.5,8.0",2.044,7.059,False,3
Haemophilus influenzae,POD,Cefpodoxime,"2016,2017,2018","686,351,27",43.42,"1.0,5.4,44.4",3.159,increasing,"0.0678,0.0985,0.6057",False,"0.06,0.06,2.0",False,"0.25,1.0,8.0",1.848,6.644,False,3
Haemophilus influenzae,AXO,Ceftriaxone,"2016,2017,2018","686,351,27",0.0,"0.0,0.0,0.0",3.033,increasing,"0.0179,0.0215,0.1465",False,"0.015,0.015,0.12",False,"0.03,0.12,0.25",5.844,1.059,True,3
Streptococcus pneumoniae,DIN,Cefdinir (alternate code - see note),"2015,2016,2017,2018","48,641,333,46",52.31,"47.9,36.8,54.4,89.1",3.023,increasing,"0.7180,0.4838,1.0247,3.9332",False,"0.5,0.25,1.0,8.0",False,"8.0,8.0,16.0,16.0",1.575,4.059,False,4
Streptococcus pneumoniae,AMX,Amoxicillin,"2015,2016,2017,2018","48,641,333,46",13.45,"14.6,12.6,23.4,26.1",2.963,increasing,"0.3094,0.1949,0.4613,1.5195",False,"0.25,0.25,0.5,2.0",False,"8.0,4.0,8.0,8.0",1.77,5.252,False,4
Streptococcus pneumoniae,AMC,Amoxicillin/Clavulanic acid,"2015,2016,2017,2018","48,641,333,46",13.61,"14.6,12.5,23.1,26.1",2.926,increasing,"0.3006,0.1911,0.4518,1.4523",False,"0.25,0.25,1.0,2.0",False,"8.0,4.0,8.0,8.0",1.679,4.252,False,4
Streptococcus pneumoniae,CXM,Cefuroxime,"2015,2016,2017,2018","48,641,333,46",49.99,"52.1,37.0,55.9,87.0",2.823,increasing,"0.7971,0.4497,0.9596,3.1823",False,"1.0,0.25,2.0,4.0",False,"16.0,8.0,16.0,16.0",1.804,4.059,False,4
Streptococcus pneumoniae,AXO,Ceftriaxone,"2015,2016,2017,2018","48,641,333,46",23.25,"12.5,7.2,15.3,30.4",2.622,increasing,"0.1734,0.1272,0.2642,0.7830",False,"0.25,0.12,0.5,1.0",False,"2.0,1.0,2.0,2.0",1.784,3.059,False,4
Streptococcus pneumoniae,CDN,Cefdinir,"2015,2016,2017,2018","48,641,333,46",35.8,"14.6,14.2,28.8,50.0",2.485,increasing,"0.1298,0.0959,0.1916,0.5367",False,"0.12,0.12,0.25,0.5",False,"1.0,1.0,1.0,2.0",1.407,3.059,False,4
Streptococcus pneumoniae,PEN,Penicillin,"2015,2016,2017,2018","48,641,333,46",34.04,"70.8,59.4,73.3,93.5",2.318,increasing,"0.4030,0.2664,0.5037,1.3280",False,"0.5,0.25,0.5,2.0",False,"4.0,2.0,4.0,4.0",1.959,4.059,False,4
Streptococcus pneumoniae,SXT,Trimethoprim/Sulfamethoxazole,"2015,2016,2017,2018","48,641,333,46",34.69,"47.9,59.3,66.7,82.6",2.317,increasing,"0.7910,1.1959,1.7105,3.9402",False,"0.25,1.0,4.0,4.0",False,"8.0,8.0,16.0,16.0",1.798,4.0,False,4
Haemophilus influenzae,CDN,Cefdinir,"2016,2017,2018","686,351,27",0.29,"0.3,0.0,0.0",1.735,increasing,"0.0355,0.0379,0.1182",False,"0.03,0.03,0.12",False,"0.06,0.12,0.25",4.056,1.624,True,3
Haemophilus influenzae,AMC,Amoxicillin/Clavulanic acid,"2016,2017,2018","686,351,27",3.13,"0.1,3.1,0.0",1.722,increasing,"0.4811,0.7081,1.5874",False,"0.5,0.5,2.0",False,"2.0,4.0,4.0",0.772,1.0,True,3
Haemophilus influenzae,AZM,Azithromycin,"2016,2017,2018","686,351,27",24.47,"1.5,2.0,25.9",1.591,increasing,"0.5406,0.5588,1.6287",False,"0.5,0.5,1.0",False,"1.0,1.0,32.0",0.361,4.322,False,3
Haemophilus influenzae,CLA,Clarithromycin,"2016,2017,2018","686,351,27",11.46,"3.4,4.8,14.8",0.429,decreasing,"3.5435,3.5116,2.6326",True,"4.0,4.0,4.0",False,"8.0,8.0,32.0",1.009,1.0,False,3
Streptococcus pneumoniae,LEV,Levofloxacin,"2015,2016,2017,2018","48,641,333,46",3.85,"2.1,1.6,5.4,2.2",0.361,increasing,"0.8894,1.0418,1.1424,0.9274",True,"1.0,1.0,1.0,1.0",False,"1.0,2.0,2.0,1.0",6.019,0.0,False,4
Escherichia coli,AMC,Amoxicillin/Clavulanic acid,"2016,2017","49,57",9.17,"65.3,56.1",0.354,decreasing,"14.9074,11.6629",True,"16.0,16.0",False,"64.0,32.0",0.371,0.0,False,2
Escherichia coli,SXT,Trimethoprim/Sulfamethoxazole,"2016,2017","49,57",0.75,"42.9,42.1",0.314,decreasing,"0.8768,0.7053",False,"0.5,0.12",True,"16.0,16.0",0.215,0.0,False,2
Escherichia coli,LEV,Levofloxacin,"2016,2017","49,57",10.88,"22.4,33.3",0.272,increasing,"0.2158,0.2606",True,"0.25,0.25",True,"4.0,4.0",0.094,2.0,False,2
Streptococcus pneumoniae,MXF,Moxifloxacin,"2015,2016,2017,2018","48,641,333,46",3.3,"0.0,0.9,3.3,0.0",0.269,decreasing,"0.1403,0.1367,0.1429,0.1186",True,"0.12,0.12,0.12,0.12",False,"0.25,0.25,0.25,0.12",3.19,1.059,False,4
Escherichia coli,AMP,Ampicillin,"2016,2017","49,57",7.42,"65.3,57.9",0.216,decreasing,"32.9183,28.3359",True,"128.0,128.0",True,"128.0,128.0",0.385,0.0,False,2
Escherichia coli,AXO,Ceftriaxone,"2016,2017","49,57",2.94,"4.1,7.0",0.213,increasing,"0.0428,0.0496",True,"0.03,0.03",False,"0.06,0.12",0.76,0.0,False,2
Escherichia coli,FIX,Cefixime,"2016,2017","49,57",2.65,"6.1,8.8",0.08,decreasing,"0.4326,0.4092",False,"0.5,0.25",True,"1.0,1.0",0.046,0.0,False,2
