Min N,Similarity threshold (pp),Divergence threshold (log2),N qualifying country-pair combos,Case: Haemophilus/AXO Philippines-Vietnam,Case: Streptococcus/AXO Argentina-Tunisia,Case: Streptococcus/AMX Argentina-Kenya,Case: Streptococcus/AMC Argentina-Kenya
15,5.0,0.5,312,True,False,True,True
15,5.0,1.0,144,True,False,True,True
15,5.0,1.5,75,True,False,True,True
15,5.0,2.0,40,True,False,True,True
15,8.0,0.5,420,True,True,True,True
15,8.0,1.0,194,True,True,True,True
15,8.0,1.5,95,True,True,True,True
15,8.0,2.0,51,True,True,True,True
15,10.0,0.5,485,True,True,True,True
15,10.0,1.0,230,True,True,True,True
15,10.0,1.5,117,True,True,True,True
15,10.0,2.0,64,True,True,True,True
15,15.0,0.5,627,True,True,True,True
15,15.0,1.0,308,True,True,True,True
15,15.0,1.5,159,True,True,True,True
15,15.0,2.0,86,True,True,True,True
25,5.0,0.5,248,True,False,True,True
25,5.0,1.0,104,True,False,True,True
25,5.0,1.5,44,True,False,True,True
25,5.0,2.0,19,True,False,True,True
25,8.0,0.5,328,True,True,True,True
25,8.0,1.0,140,True,True,True,True
25,8.0,1.5,55,True,True,True,True
25,8.0,2.0,23,True,True,True,True
25,10.0,0.5,377,True,True,True,True
25,10.0,1.0,162,True,True,True,True
25,10.0,1.5,64,True,True,True,True
25,10.0,2.0,25,True,True,True,True
25,15.0,0.5,483,True,True,True,True
25,15.0,1.0,216,True,True,True,True
25,15.0,1.5,86,True,True,True,True
25,15.0,2.0,37,True,True,True,True
40,5.0,0.5,206,True,False,True,True
40,5.0,1.0,91,True,False,True,True
40,5.0,1.5,41,True,False,True,True
40,5.0,2.0,18,True,False,True,True
40,8.0,0.5,275,True,True,True,True
40,8.0,1.0,125,True,True,True,True
40,8.0,1.5,52,True,True,True,True
40,8.0,2.0,22,True,True,True,True
40,10.0,0.5,312,True,True,True,True
40,10.0,1.0,140,True,True,True,True
40,10.0,1.5,58,True,True,True,True
40,10.0,2.0,24,True,True,True,True
40,15.0,0.5,385,True,True,True,True
40,15.0,1.0,177,True,True,True,True
40,15.0,1.5,76,True,True,True,True
40,15.0,2.0,35,True,True,True,True
