,AMC,AMP,AMX,AXO,AZM,CDN,CEC,CLA,CXM,DIN,ERY,FIX,LEV,MXF,PEN,POD,SXT
Argentina,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.5,100.0,100.0,100.0,75.5,100.0,100.0
Cambodia,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,61.5,100.0,100.0,100.0,61.5,100.0,100.0
Chile,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,48.7,100.0,100.0,100.0,48.7,100.0,100.0
Costa Rica,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3.7,100.0,100.0,100.0,3.7,100.0,100.0
Ghana,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Kenya,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Kuwait,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.6,100.0,100.0,100.0,97.6,100.0,100.0
Lebanon,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Morocco,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,82.6,100.0,100.0,100.0,82.6,100.0,100.0
Nigeria,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Pakistan,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,43.5,100.0,100.0,100.0,43.5,100.0,100.0
Philippines,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,22.4,100.0,100.0,100.0,22.4,100.0,100.0
Saudi Arabia,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,39.6,100.0,100.0,100.0,39.6,100.0,100.0
Singapore,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,29.8,100.0,100.0,100.0,29.8,100.0,100.0
Tunisia,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,51.6,100.0,100.0,100.0,51.6,100.0,100.0
Turkey,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,42.8,100.0,100.0,100.0,42.8,100.0,100.0
Ukraine,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,44.1,100.0,100.0,100.0,44.1,100.0,100.0
Vietnam,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,64.4,100.0,100.0,100.0,64.4,100.0,100.0
